Drug,Phenotype,Disease,drug_relation,drug_display_relation,phenotype_relation,phenotype_display_relation
testosterone,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone cypionate,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone cypionate,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone cypionate,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone cypionate,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone cypionate,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
methyltestosterone,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
methyltestosterone,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
methyltestosterone,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
methyltestosterone,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
methyltestosterone,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
progesterone,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
progesterone,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
progesterone,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
progesterone,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
progesterone,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
ethinylestradiol,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
ethinylestradiol,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
ethinylestradiol,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
ethinylestradiol,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
ethinylestradiol,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
meprobamate,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
meprobamate,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
meprobamate,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
meprobamate,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
meprobamate,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
chlorotrianisene,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
chlorotrianisene,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
chlorotrianisene,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
chlorotrianisene,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
chlorotrianisene,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
diethylstilbestrol,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
diethylstilbestrol,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
diethylstilbestrol,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
diethylstilbestrol,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
diethylstilbestrol,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
etonogestrel,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
etonogestrel,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
etonogestrel,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
etonogestrel,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
etonogestrel,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
desogestrel,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
desogestrel,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
desogestrel,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
desogestrel,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
desogestrel,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
leuprolide,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
leuprolide,ovarian neoplasm,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
leuprolide,breast carcinoma,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
leuprolide,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
leuprolide,prostate cancer,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
norelgestromin,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
norelgestromin,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
norelgestromin,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
norelgestromin,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
norelgestromin,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estrone,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estrone,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estrone,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estrone,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estrone,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
thiotepa,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
thiotepa,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
thiotepa,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
thiotepa,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
thiotepa,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
tretamine,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
tretamine,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
tretamine,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
tretamine,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
tretamine,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
estradiol,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estradiol,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estradiol,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estradiol,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estradiol,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
carboplatin,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
carboplatin,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
carboplatin,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
carboplatin,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
carboplatin,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
norgestimate,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
norgestimate,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
norgestimate,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
norgestimate,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
norgestimate,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
etoposide,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
etoposide,ovarian neoplasm,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
etoposide,breast carcinoma,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
etoposide,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
etoposide,prostate cancer,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
paclitaxel,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
paclitaxel,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
paclitaxel,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
paclitaxel,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
paclitaxel,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
levomefolic acid,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
levomefolic acid,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
levomefolic acid,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
levomefolic acid,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
levomefolic acid,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone enanthate,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone enanthate,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone enanthate,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone enanthate,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone enanthate,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estradiol cypionate,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estradiol cypionate,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estradiol cypionate,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estradiol cypionate,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
estradiol cypionate,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
rucaparib,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
rucaparib,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
rucaparib,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
rucaparib,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
rucaparib,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
belotecan,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
belotecan,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
belotecan,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
belotecan,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
belotecan,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
doxorubicin,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
doxorubicin,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
doxorubicin,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
doxorubicin,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
doxorubicin,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
cisplatin,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
cisplatin,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
cisplatin,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
cisplatin,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
cisplatin,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
capecitabine,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
capecitabine,ovarian neoplasm,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
capecitabine,breast carcinoma,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
capecitabine,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
capecitabine,prostate cancer,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
quinestrol,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
quinestrol,ovarian neoplasm,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
quinestrol,breast carcinoma,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
quinestrol,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
quinestrol,prostate cancer,hereditary breast ovarian cancer syndrome,contraindication,contraindication,disease_phenotype_positive,phenotype present
melphalan,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
melphalan,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
melphalan,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
melphalan,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
melphalan,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
hydroxyurea,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
hydroxyurea,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
hydroxyurea,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
hydroxyurea,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
hydroxyurea,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
topotecan,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
topotecan,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
topotecan,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
topotecan,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
topotecan,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
anastrozole,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
anastrozole,ovarian neoplasm,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
anastrozole,breast carcinoma,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
anastrozole,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
anastrozole,prostate cancer,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
docetaxel,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
docetaxel,ovarian neoplasm,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
docetaxel,breast carcinoma,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
docetaxel,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
docetaxel,prostate cancer,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
trabectedin,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
trabectedin,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
trabectedin,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
trabectedin,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
trabectedin,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
letrozole,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
letrozole,ovarian neoplasm,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
letrozole,breast carcinoma,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
letrozole,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
letrozole,prostate cancer,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
tamoxifen,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
tamoxifen,ovarian neoplasm,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
tamoxifen,breast carcinoma,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
tamoxifen,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
tamoxifen,prostate cancer,hereditary breast ovarian cancer syndrome,off-label use,off-label use,disease_phenotype_positive,phenotype present
drostanolone propionate,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
drostanolone propionate,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
drostanolone propionate,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
drostanolone propionate,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
drostanolone propionate,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
bevacizumab,abnormal fallopian tube morphology,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
bevacizumab,ovarian neoplasm,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
bevacizumab,breast carcinoma,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
bevacizumab,neoplasm of the pancreas,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
bevacizumab,prostate cancer,hereditary breast ovarian cancer syndrome,indication,indication,disease_phenotype_positive,phenotype present
estradiol valerate,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
estradiol valerate,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
clomifene,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
clomifene,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
levonorgestrel,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
levonorgestrel,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
fluoxymesterone,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
fluoxymesterone,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
mestranol,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
mestranol,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
medroxyprogesterone acetate,somatic mutation,endometrial cancer,indication,indication,disease_phenotype_positive,phenotype present
medroxyprogesterone acetate,autosomal dominant inheritance,endometrial cancer,indication,indication,disease_phenotype_positive,phenotype present
norethisterone,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
norethisterone,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
drospirenone,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
drospirenone,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
dienogest,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
dienogest,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
hydroxyprogesterone caproate,somatic mutation,endometrial cancer,off-label use,off-label use,disease_phenotype_positive,phenotype present
hydroxyprogesterone caproate,autosomal dominant inheritance,endometrial cancer,off-label use,off-label use,disease_phenotype_positive,phenotype present
megestrol acetate,somatic mutation,endometrial cancer,indication,indication,disease_phenotype_positive,phenotype present
megestrol acetate,autosomal dominant inheritance,endometrial cancer,indication,indication,disease_phenotype_positive,phenotype present
chlordiazepoxide,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
chlordiazepoxide,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone cypionate,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
testosterone cypionate,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
methyltestosterone,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
methyltestosterone,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
progesterone,somatic mutation,endometrial cancer,indication,indication,disease_phenotype_positive,phenotype present
progesterone,autosomal dominant inheritance,endometrial cancer,indication,indication,disease_phenotype_positive,phenotype present
ethinylestradiol,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
ethinylestradiol,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
meprobamate,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
meprobamate,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
chlorotrianisene,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
chlorotrianisene,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
diethylstilbestrol,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
diethylstilbestrol,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
etonogestrel,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
etonogestrel,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
desogestrel,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
desogestrel,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
norelgestromin,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
norelgestromin,autosomal dominant inheritance,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
estrone,somatic mutation,endometrial cancer,contraindication,contraindication,disease_phenotype_positive,phenotype present
